国家,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323,20200324,20200325,20200326,20200327,20200328,20200329,20200330,20200331,20200401,20200402,20200403,20200404,20200405,20200406,20200407,20200408,20200409,20200410,20200411,20200412,20200413,20200414,20200415,20200416,20200417,20200418,20200419,20200420,20200421,20200422,20200423,20200424,20200425,20200426,20200427,20200428,20200429,20200430,20200501,20200502,20200503,20200504,20200505,20200506,20200507,20200508,20200509,20200510,20200511,20200512,20200513,20200514,20200515,20200516,20200517,20200518,20200519,20200520,20200521,20200522,20200523,20200524,20200525,20200526,20200527,20200528,20200529,20200530,20200531,20200601,20200602,20200603,20200604,20200605,20200606,20200607,20200608,20200609,20200610,20200611,20200612,20200613,20200614,20200615,20200616,20200617,20200618,20200619,20200620,20200621,20200622,20200623,20200624,20200625,20200626,20200627,20200628,20200629,20200630,20200701,20200702,20200703,20200704,20200705,20200706,20200707,20200708,20200709,20200710,20200711,20200712,20200713,20200714,20200715,20200716,20200717,20200718,20200719,20200720,20200721,20200722,20200723,20200724,20200725,20200726,20200727,20200728,20200729,20200730,20200731,20200801,20200802,20200803,20200804,20200805,20200806,20200807,20200808,20200809,20200810,20200811,20200812,20200813,20200814,20200815,20200816,20200817,20200818,20200819,20200820,20200821,20200822,20200823,20200824,20200825,20200826,20200827,20200828,20200829,20200830,20200831,20200901,20200902,20200903,20200904,20200905,20200906,20200907,20200908,20200909,20200910,20200911,20200912,20200913,20200914,20200915,20200916,20200917,20200918,20200919,20200920,20200921,20200922,20200923,20200924,20200925,20200926,20200927,20200928,20200929,20200930,20201001,20201002,20201003,20201004,20201005,20201006,20201007,20201008,20201009,20201010,20201011,20201012,20201013,20201014,20201015,20201016,20201017,20201018,20201019,20201020,20201021,20201022,20201023,20201024,20201025,20201026,20201027,20201028,20201029,20201030,20201031,20201101,20201102,20201103,20201104,20201105,20201106,20201107,20201108,20201109,20201110,20201111,20201112,20201113,20201114,20201115,20201116,20201117,20201118,20201119,20201120,20201121,20201122,20201123,20201124,20201125,20201126,20201127,20201128,20201129,20201130,20201201,20201202,20201203,20201204,20201205,20201206,20201207,20201208,20201209,20201210,20201211,20201212,20201213,20201214,20201215,20201216,20201217,20201218,20201219,20201220,20201221,20201222,20201223,20201224,20201225,20201226,20201227,20201228,20201229,20201230,20201231,20210101,20210102,20210103,20210104,20210105,20210106,20210107,20210108,20210109,20210110,20210111,20210112,20210113,20210114,20210115,20210116,20210117,20210118,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212
美国,0,0,0,0,1,1,2,2,5,5,5,5,6,7,8,11,11,11,12,12,12,12,12,13,13,14,15,15,15,15,15,15,15,15,35,35,35,53,53,59,59,62,62,62,62,102,120,138,202,202,202,453,671,958,1228,1986,2589,3172,4491,6152,13513,18736,25021,32486,42503,52552,64475,81626,99207,118116,135754,152202,175545,200181,227341,259817,285791,308696,334488,361530,386206,420212,449159,474663,495969,514337,530899,555928,579979,604873,628693,647900,669403,703273,714110,743451,742830,782990,801623,818190,837859,856247,878470,873899,886255,909274,923037,942851,960519,984161,1007658,1016449,1032524,1023133,1056687,1061715,1084307,1102998,1115312,1124561,1133318,1144245,1161526,1183780,1154425,1160726,1177163,1185000,1196524,1206797,1218302,1236362,1249543,1237516,1245057,1261682,1263787,1277103,1293796,1308790,1322083,1339228,1343530,1352976,1366530,1382573,1397394,1415902,1420897,1434616,1451708,1468424,1493863,1514091,1536496,1545698,1574015,1601972,1663102,1671723,1699712,1736689,1755514,1781419,1820238,1822018,1868685,1812134,1838183,1867644,1916217,1972386,2005924,2056376,2109412,2156035,2185968,2230805,2282298,2331069,2388527,2434886,2489383,2544427,2563801,2616967,2651400,2699290,2741932,2782612,2808545,2838050,2862084,2919505,2958949,2995444,3046142,3041505,3078100,3082230,3115192,3141213,3184554,3221128,3245855,3258427,3310105,3319988,3334363,3366712,3397158,3397868,3408707,3452722,3468802,3476719,3502935,3524326,3560810,3574120,3583704,3593898,3610378,3635161,3655442,3658175,3682870,3722209,3692573,3725510,3750500,3768482,3794008,3775393,3806550,3799442,3839225,3850040,3886456,3906034,3860962,3933783,3946195,3977310,3985708,4004359,4040761,4072471,4090825,4098923,4113616,4119235,4152490,4172214,4182876,4205765,4224846,4256465,4269459,4310748,4329876,4331205,4378017,4383710,4421280,4431481,4481439,4479770,4528285,4560785,0,4643797,4662211,4706820,4714383,4772852,4805526,4822271,4900192,4894619,4983069,5013177,5083254,5132262,5191184,5246112,5267302,5346367,5408731,5457895,5526981,5608352,5689584,5783383,5842263,5903020,6049570,6169770,6276752,6411972,6530580,6630494,6740211,6827299,6941331,7074015,7195173,7331463,7423866,7594986,7520016,7640707,7680015,7750634,7880349,7956341,8053578,8130611,8230881,8329029,8466840,8623173,8727474,8854809,8946753,9099349,9213817,9340686,9404777,9523291,9660093,9819603,8797762,8955187,9125319,9390384,9457120,9604320,9702781,9746521,9903996,10045142,10121913,10333461,10367898,10383972,10513813,10645573,10591334,10618218,10857204,10975496,10998572,11097883,11279242,11484863,11716545,11937992,12158173,12326217,12476559,12491193,12663070,12756385,12939762,13063193,13168695,13290472,13464746,13376652,13444136,13590527,13577923,13710280,13852149,14002657,14167045,14329494,14469067,14578988,14711592,14822173,14939734,9192056,9199480,9188798,9187930,9119679,9085492,8988286,0
英国,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,4,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,16,20,23,36,39,51,89,118,166,208,275,320,367,454,586,792,1105,1342,1474,1847,3046,3727,4706,5309,6180,7520,8929,11059,13685,15935,18159,20598,23226,26987,30662,33583,37455,42737,46100,48948,53501,56964,62159,68981,73323,76948,81422,85264,89020,93772,98409,103663,107890,111363,115051,118996,123614,127714,131764,135713,139123,139123,144138,149600,153785,157809,161506,165219,170681,175756,179584,183134,186789,190456,193232,195980,198998,202174,205156,208520,211071,212938,212579,214327,217263,219940,222227,223731,227640,229241,230751,232522,233911,235734,236748,238077,239589,241218,242511,243864,245113,246263,247718,248476,249591,250930,252174,253652,254582,255628,256559,257642,258815,259982,261160,262103,262744,263242,264211,265407,266197,267062,267851,268385,269038,239223,239606,240163,240657,240993,241419,241923,242480,242944,243616,244245,244764,245866,246319,246894,247467,248254,248953,249521,249856,250337,251053,251698,252404,253135,253813,254275,254955,255763,256523,257220,257955,258883,259455,260281,261182,261186,262658,262662,264528,264532,266553,266557,269122,270134,271239,277289,278366,279162,280338,281369,282639,283674,284642,285810,286842,288352,289619,290715,292429,293833,295125,296623,298358,300275,300267,305062,308007,310397,313086,315991,319524,323012,326337,328949,332025,335996,339370,343665,348060,351941,356308,361187,367328,373922,380761,386767,392442,392446,396406,403549,410586,417441,437161,437132,472663,472591,501221,518684,532461,547545,560352,560356,591363,610950,0,645289,645293,678224,696947,718036,718040,765581,765585,785888,808730,849153,871671,896061,918846,942977,964566,987658,987526,1026093,1050778,1074538,1097470,1122014,1142430,1163586,1183466,1205821,1238728,1265653,1292051,1316845,1337995,1357448,1376528,1398942,1418683,1438218,1456482,1471726,1471726,1482417,1499935,1516992,1531211,1546603,1558543,1570670,1583496,1599018,1613482,1629276,1644418,1661458,1675987,1687669,1703714,1724162,1745410,1766393,1784694,1804725,1822669,1847218,1882069,1910087,1936605,1972207,2005356,2041468,2079961,2118423,2150578,2185061,2217054,2258082,2310759,2359801,2414729,2467401,2524680,2579216,2637593,2697635,2758916,2810372,2877100,2936002,2990379,3036019,3080309,3126270,3173704,3228185,3268232,3306159,3343095,3374840,3411925,3448527,3487387,3519591,3548985,3570588,3589045,3612628,3640069,3667903,3689978,3710479,3728680,3744071,3761951,3781670,3799770,3817204,3832676,3846447,3857759,3869771,0
法国,0,0,0,0,0,0,3,3,3,3,4,5,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,36,55,98,98,188,208,278,414,604,696,1097,1372,1741,2221,2799,3561,4342,5217,6389,6875,9323,10575,12310,13757,16796,17999,20002,22511,25269,29561,30436,33602,39161,42022,42174,47407,45607,46217,50129,48502,50466,50918,52547,53567,53824,55391,59039,58039,58115,56151,56515,56310,56983,57347,57154,56860,56839,56906,56816,59533,59313,56127,55729,55379,55657,55608,55291,54700,57369,57369,56409,56506,56466,56152,55451,54987,54326,54326,53600,53090,52936,52842,52359,52090,52058,51927,51937,51623,51146,50566,53218,53151,54457,54596,54818,53573,53201,53403,53440,53686,53980,53917,53789,53985,54066,54341,54617,54954,54892,54834,54932,55151,55718,56148,56365,56475,56676,56490,56245,57509,57509,57509,58448,58684,59309,59701,59701,60007,60007,61096,61096,61523,61945,62360,62360,62360,63751,63751,64364,64364,65278,65278,65278,67036,67439,68207,68744,69864,69521,69521,72055,72270,73647,74819,76154,76154,76154,79501,80538,81558,82861,85137,84761,84761,89599,90982,93489,95314,97957,101264,104278,104752,106968,110727,115269,119832,122540,127426,127413,132090,137519,143138,150304,155751,161160,164213,168877,175375,182269,191003,199535,199561,210807,216924,225081,234607,243398,253942,261119,267243,274214,283952,294051,306607,319346,319346,334902,343645,356144,372188,386960,401333,412429,415940,423371,435252,435252,460227,459720,459720,493295,503718,521271,538811,558519,585361,601416,609826,620850,642613,0,696771,696771,758861,770719,790021,815721,856234,897081,897081,994260,1018913,1050438,1086631,1131462,1178886,1213179,1258669,1309925,1343760,1383933,1438052,1495659,1580598,1618271,1637878,1658838,1689307,1720796,1741457,1771213,1797469,1805299,1847330,1873049,1891592,1913336,1929012,1939795,1942836,1942836,1948899,1962927,1974467,1984290,1995435,2004731,2007476,2013036,2025256,2036251,2045433,2057136,2067756,2070102,2082984,2094321,2106368,2117914,2131667,2141946,2143986,2153288,2169390,2186191,2200105,2216566,2228999,2233787,2243186,2256625,2276602,2295899,2298573,2306999,2308815,2318157,2343072,2361572,2380107,2383144,2395305,2398298,2416454,660297,681724,700948,720957,736750,740022,759032,782655,803601,824236,845449,861950,865283,888235,914709,937211,959854,983548,1001812,1005607,1027081,1053647,1077073,2854693,2878843,2897883,2901775,2901775,2950391,2973482,2994970,3015365,3034909,3038768,3056914,3082005,0
西班牙,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,25,32,45,45,114,151,197,254,369,425,579,996,1603,2092,2881,4111,5046,6894,7854,9606,15299,17390,21475,24277,27552,35273,38809,45084,52186,54273,59984,63146,71519,70436,73492,76262,78773,80261,83897,83504,84114,85043,85511,86390,86656,87280,86981,88201,88889,93793,97021,98134,98771,100382,100757,101617,104885,105149,85712,85069,84403,79695,76842,75714,74234,73300,71240,70230,68466,66866,65763,63148,61603,63553,62130,60764,58845,57941,58352,54124,53521,53883,54291,54721,54902,55318,55726,58190,58766,59275,60411,61067,61727,60181,62135,62429,62822,63151,63468,63799,64038,64205,64454,64768,65195,65697,66093,66416,66597,66816,67171,67756,66884,67240,67573,67804,68051,68383,68780,69191,69752,70051,70248,70540,70920,71359,71784,71784,71784,73025,73362,73741,74279,75129,75129,75129,77171,77834,78705,80063,81459,81459,81459,86038,87394,88749,91361,93613,93613,93613,99972,101798,103824,106611,109701,109701,109701,118206,123940,126892,130979,135483,135483,135483,144028,147655,150829,158352,163820,163820,163820,180060,185150,191694,198717,206840,206840,206840,226188,233253,240502,250135,259899,259899,259899,283388,291445,299984,308903,319195,325647,325647,345657,354543,363375,374068,386203,386203,386203,413506,422787,433741,444870,459169,459169,459169,490429,500987,512146,522715,534873,534873,534873,566479,576156,587021,596258,607470,607470,607470,630811,642548,652963,652963,677807,677807,677807,705468,712506,724267,0,752409,752409,752409,790081,803736,820553,841384,861004,861004,861004,912913,931064,950661,974068,999424,999424,999424,1053996,1072495,1095914,1117454,1139623,1139623,1139623,1191497,1208481,1227228,1246383,1267446,1267446,1267446,1305235,1317959,1332926,1348907,1363735,1363735,1363735,1389104,1389104,1400800,1410653,1422605,1433164,1433164,1433164,1452742,1460557,1469525,1479488,1488019,1488019,1488019,1505306,1505306,1514706,1522336,1532575,1532575,1532575,1553495,1563435,1574318,1586268,1597934,1597934,1597934,1619613,1630007,1642215,1654751,1654751,1654751,1654751,1678915,1692684,1709153,1727052,1727052,1727052,1727052,1757390,1780738,1780738,1822853,1848110,1848110,1848110,1909131,1934161,1972835,2008512,2048474,2048474,2048474,2132306,2166193,2207305,2251258,2293743,2293743,2293743,2386798,2422642,2462435,2462435,2534424,2534424,2534424,2613348,2641688,2672719,2702247,2730228,2730228,2730228,2776414,2792050,2809521,0
荷兰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,13,18,28,38,82,127,187,262,318,378,498,609,794,947,1115,1389,1662,2402,2888,3495,4025,4584,5284,6056,6997,8057,6169,7141,7932,8602,9487,10404,11282,12022,13131,13982,14525,15347,16412,17632,18948,22559,23437,24183,24728,25608,26699,27697,28680,29363,29927,30497,31261,31955,32490,33079,33436,33559,33800,34230,34607,34958,35224,35397,35628,35824,36195,36443,36669,36896,37041,37183,37358,37600,37747,37909,38024,38156,38243,38408,38634,38809,38962,39123,39324,39431,39606,39756,39904,40015,40195,40292,28930,29006,29202,29365,29542,29779,29779,30090,30240,30399,30399,30600,30775,31075,31209,31322,31433,31537,31605,31695,31760,31819,31899,32006,32094,32101,32174,32174,32248,32292,32352,32374,32449,32508,32580,32676,32676,32676,32725,32767,32848,32949,33020,33073,33176,33275,33378,33505,33648,33888,34051,34216,34379,34570,34706,34920,35124,35124,35588,35930,36268,36698,37009,37381,37919,38342,38943,39461,39944,40521,41928,41928,42527,43104,43740,43740,44894,45375,45859,46405,46924,47454,47957,48413,48983,49392,49954,50461,50966,51462,51970,52495,52950,53859,54280,55022,55672,56595,57392,58354,59492,60312,61577,62807,63892,65188,66562,68100,69844,71809,73689,75528,80063,80063,82316,84845,87605,90278,93259,96162,99150,102430,105670,109481,113423,117418,121983,126479,131422,143592,150079,150056,155989,162821,170154,0,185143,193105,201181,209597,225691,225691,243600,243600,253551,272304,282639,292861,300903,311111,322143,331897,331897,340541,356428,356428,363955,377957,384555,390175,394816,394816,404718,410263,410263,416300,427499,432285,436501,441028,446600,452482,452482,463871,468987,468987,472823,477658,482053,487713,492113,497675,497675,506199,511054,516599,522415,528897,528897,542701,542701,555238,563897,572671,581698,591553,599976,606523,617614,630318,642165,654328,667328,678468,688164,698448,709858,721247,731049,740101,747472,754804,764090,773663,781749,790314,797665,804165,810352,817278,826820,834857,842042,848600,853966,858686,864650,871027,876942,882105,887662,892366,896532,896532,907661,913320,918646,923507,927485,931316,935974,940550,944844,948930,952591,955752,955752,963182,967310,971571,975585,979471,981667,983328,986432,0
巴西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,7,13,19,25,25,34,52,77,98,121,200,234,234,614,893,1110,1521,1521,1857,2376,2838,2838,3325,4120,4420,5516,6595,7611,7611,8697,9919,11503,13050,15127,16789,18455,19476,20819,20819,23603,12558,14475,17515,20226,22166,15876,17347,17533,19606,21670,26838,29359,32189,36693,39718,43544,47660,48836,51131,54644,59296,69274,74590,80081,86015,86619,87580,92601,97575,109446,118436,131774,130840,137902,146863,156037,164003,174412,182798,190634,197592,208117,219576,218640,241815,268714,278980,283615,283557,275750,308502,321086,321574,353379,347973,377985,355087,367899,404553,380395,386981,393870,441649,436280,426887,469118,474417,485035,505813,485363,488692,528185,526419,540692,571691,578255,558789,598081,569290,559760,534124,559573,579182,529619,527274,530219,651666,554869,669377,598622,639179,677870,568688,601702,653726,647672,629324,668965,678773,671255,665847,715783,697813,687090,673092,674712,694744,685959,731209,755896,743334,735335,741180,771258,794476,843541,815913,837258,842792,751107,766753,775785,805592,799889,772540,818972,730298,736264,748217,758474,752004,768517,705020,690643,695492,716238,718889,709924,689157,669239,663680,669377,688056,689009,693644,665270,640373,616014,611587,621113,631056,624872,600420,578016,564665,567369,606308,571613,556507,533597,507869,493022,494105,508127,525748,530480,521984,521984,486607,489640,502542,512272,505729,498424,468776,462629,464923,472654,478717,474310,457430,435655,420303,0,427526,435357,431409,414892,398336,421777,391375,398594,401250,401050,388169,378876,376739,402821,393702,402805,404659,413011,378362,386288,369468,406126,426931,437374,448784,471859,521257,362548,378348,391775,405771,388207,383467,390043,407450,429400,429400,469699,473368,473368,506175,483252,504161,529828,555100,563774,561309,558166,563766,587190,614601,639173,650396,649610,531348,585594,638250,690368,744704,737618,731379,723542,726190,748949,780040,804026,806026,789919,776763,772057,785658,798710,799525,777769,746351,723863,718249,733932,748853,751243,724709,682739,650823,638966,664244,699904,729330,734999,722733,717204,774255,779252,824583,858571,866577,849863,845385,860796,904845,945063,971341,973749,945650,919017,981593,915316,936059,954758,953155,926906,896180,875465,877123,892163,903049,895892,870408,844984,831230,0
比利时,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,23,50,109,169,200,239,267,314,314,599,688,1079,1079,1471,1780,2219,2485,3036,3305,3797,4445,5665,6645,8431,10055,9859,10374,11004,12205,12755,14276,15642,16310,17287,18291,19588,20776,18586,19584,20179,20094,22026,22426,23014,23382,24056,25398,25956,26193,26507,27492,27991,28255,28602,29060,29075,29349,29437,29541,29753,29965,30052,29711,30025,30258,30604,30783,31045,31286,31201,31274,31384,31524,31598,31822,31996,31986,32061,33176,32418,32540,32733,32801,32763,32889,32949,32964,33027,33112,33176,33204,33171,33229,33380,33340,33427,33503,33548,33622,33675,33770,33827,33829,33867,33885,33939,34028,34028,34082,34082,34326,34318,34423,34517,34619,34622,34688,34739,34734,34816,34941,34976,35047,35154,35162,35209,35273,35397,35508,35645,35746,35815,35815,36068,36264,36520,36727,36804,37000,37164,37530,37746,38093,38512,38718,39119,39119,40012,40679,41516,42163,42431,42891,43130,43633,44494,45164,45777,46619,47080,47462,48086,48521,49435,49435,50630,50836,51184,51756,52541,53248,53819,54189,54435,54908,55490,55861,56311,56953,57393,57586,57835,58258,58890,59518,60165,60705,61105,61474,62019,62896,63863,63316,64197,65046,65532,66680,68707,70379,71565,73014,74203,76032,77595,79470,81674,83496,84866,86033,87781,89197,91797,94958,98340,100838,102792,104866,108427,114138,119502,127424,132735,136337,143664,0,162300,172460,183391,192508,200798,210338,223608,240305,257803,275433,290982,303580,317012,337928,361711,381623,398365,410042,416258,421082,436548,447582,456097,462022,468495,470727,474675,482394,487167,491571,497738,502279,504016,506527,511523,515829,515829,522143,523922,524908,524908,526626,529651,535251,535251,538748,538748,541461,543187,546102,548585,551058,551058,555197,555990,560801,563466,566128,568825,570947,571918,574005,577541,580594,583345,585976,588065,588975,591049,594143,594143,598918,599633,600438,601261,602811,605562,607729,609469,610286,611071,611898,613669,616610,619533,621472,623417,624946,625862,627889,630760,633353,635498,637574,639165,640060,641457,644445,646968,649357,651889,653648,654805,656524,659490,662216,664863,667532,669822,671054,672859,675940,678348,680898,683279,684982,685821,687623,690200,0
瑞典,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,13,14,15,24,35,61,137,161,203,248,326,461,620,775,924,989,1056,1163,1411,1611,1709,1889,1974,2219,2451,2723,2937,3328,3573,3865,3865,4691,5241,5754,6053,6412,6712,7085,7715,8331,8798,9247,9567,10012,10395,10791,11190,11870,12404,12905,12704,13052,13517,14184,14978,15444,15882,15728,16358,16474,17138,17533,18053,18175,18201,18914,19516,20114,20547,21158,18175,18544,18544,19478,20172,20172,21017,21493,21708,22085,22085,23386,23913,24288,24534,24840,25487,25897,26490,27155,27747,28176,28440,29150,31290,32350,33329,34260,35185,35468,36236,37048,38503,39859,41086,41769,42521,43400,44550,46019,46019,46311,46311,48839,50705,52144,53689,54886,54886,55209,57386,58147,59351,60257,61074,61074,61307,62643,62643,63405,63862,64401,64484,64484,65319,65485,65949,66313,66691,66907,66907,67425,67549,67866,68116,68329,68329,68537,68700,68799,69081,69390,69708,69708,69708,69708,70463,70809,71230,71586,71586,71586,72400,72400,72700,73097,73540,73700,73700,74274,74274,74638,75034,75396,75396,75396,75925,76095,76284,76284,76281,76280,76280,73587,73729,73729,73926,74179,74179,74179,74179,74750,74898,75067,75380,75688,75688,75869,75869,76511,76741,77050,77401,77401,77401,78595,78595,78909,79440,80072,80072,80072,81605,81605,81999,83417,83417,83417,83417,85291,85291,85814,87586,87586,87586,87586,89784,89784,0,92311,92311,92311,92311,95487,95487,98068,98068,99690,99690,99690,104881,107009,110262,113446,113446,113446,113446,123592,123592,126762,135468,135468,135468,135468,135468,155654,160272,160272,111120,166220,166220,166220,185154,189744,196918,196918,196918,196918,196918,214089,218988,224762,231477,231477,231477,231477,248989,254215,260665,266874,266874,266874,266874,285561,292526,300403,307613,307613,307613,307613,328391,335812,344602,354156,354156,354156,354156,376301,382798,382798,382798,382798,382798,382798,415078,423681,423681,423681,423681,423681,423681,455792,455792,468051,475067,475067,475067,475067,492258,497398,503627,508330,508192,508192,508192,517703,522199,527060,531190,531190,531190,531190,540071,544076,548066,550395,550395,550395,550395,559820,564006,567675,570976,570976,570976,570976,579015,582947,0
塞尔维亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12,19,19,31,41,41,70,85,103,134,170,220,246,306,380,451,528,649,737,819,877,1037,1154,1445,1568,1929,2142,2304,2600,2701,2915,3184,3464,3849,4253,4647,4767,5119,5411,5622,5849,6088,6413,6547,6736,6998,7025,7314,7557,7783,8015,8136,8249,8140,8234,8233,8335,8335,8114,7921,7002,6871,6633,6696,6285,6137,6137,5902,5902,5830,5722,5722,5820,6014,6060,6067,5138,5194,5219,5075,5118,4676,4676,4696,4732,4656,4656,678,687,922,687,758,857,885,1033,1143,1305,1441,1440,1841,1881,2191,2223,2465,2613,2808,3036,3296,3577,3630,3971,4335,4987,5057,4050,4113,4772,5198,5675,6201,6372,6832,7402,7934,8425,9237,9581,9653,10570,11038,11149,12033,12677,13230,13906,14512,14915,15606,9787,10390,10945,11501,7830,7934,8881,9409,9886,10375,10847,10847,11723,12126,9915,10302,10744,11173,11538,22221,22221,10598,10618,10926,11227,11545,11872,11872,12219,12629,12629,13014,11562,11741,11934,11728,11728,11908,11908,12274,12274,12274,12274,12925,12925,13226,13226,13226,13619,13619,13619,13619,13619,14305,14419,14561,14690,14690,14922,14922,14922,14922,14922,14922,15634,15752,15870,16021,16135,16290,16404,16492,16642,16808,16990,17238,17481,17629,17761,18008,0,18609,18974,19347,19728,20416,20416,21624,21624,22367,23244,24622,25864,27464,29125,31079,33401,33401,35174,38303,38604,41549,47395,50063,52644,55294,55294,61618,66265,66986,71452,79960,83429,88399,95368,102241,109309,109309,121408,127070,127070,134484,142717,151019,159494,167099,173823,173823,188982,196849,205736,213917,221308,221308,234514,200071,251115,259001,265454,271031,275884,280536,286162,291438,296520,301368,305204,308458,312096,316180,320555,323921,327695,330351,332997,335513,338603,341795,344679,346714,346793,348722,351398,354010,356853,357571,359755,361241,363002,365067,366235,368477,370335,371515,372590,373954,375511,377282,378909,380673,382363,383799,385233,386737,389133,390952,392523,394222,396129,397475,399196,401081,402998,404847,406801,408962,410477,412424,414423,416497,0
